"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"Thomson Reuters Corporation","(Operations and Enablement - Technology, Content Operations & Legal Editorial), 50 East Broad Street","Multinational mass media and information firm","207","327","The employees are not represented by a union.","11/13/2018","September 30, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6661","E Broad St, Rochester, NY, USA",43.1551518,-77.6045392
"General Motors LLC (Cadillac New York Headquarters)","330 Hudson Street, New York, NY 10013","Automobile manufacturer and retailer.","97","97","The employees are not represented by a union.","1/15/2019","4/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6662","330 Hudson St, New York, NY 10013, USA",40.7270729,-74.0069681
"Calvin Klein, Inc.","(Madison Collection Store), 654 Madison Avenue","Clothing Retail store","29","29","The employees are not represented by a union.","1/11/2019","4/30/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6659","654 Madison Ave, New York, NY 10065, USA",40.7645805,-73.9711953
"Aveda Institute Inc.","(Aveda Institute New York School), 233 Spring Street","Beauty school","48","48","The employees are not represented by a union.","1/10/2019","4/24/2019","Sale of the Aveda Institute New York School","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6658","233 Spring St, New York, NY 10013, USA",40.7257918,-74.0049686
"Independence Care System, Inc. (ICS)","257 Park Avenue South, New York, NY 10010","Managed Long-Term Care (MLTC)","97","97","The employees are not represented by a union.","1/7/2019","4/7/2019","Due to changes in its business, ICS will be closing its MLTC line of business.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6657","257 Park Ave S, New York, NY 10010, USA",40.7386232,-73.9871351
"Pfizer, Inc.","64 Maple Street, Rouses Point, NY 12979","Pharmaceuticals (production)","6","12","International Chemical Workers Union/UFCW Local 95c","1/9/2019","12/31/2018","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6655","64 Maple St, Rouses Point, NY 12979, USA",44.9885663,-73.3665559
"AT&T Services, Inc.","(Billing Inquiry Call Center Operations), 250 South Clinton Street","Telecommunications (Billing Inquiry Call Center Operations)","155","155","Communications Workers of America","1/7/2019","4/12/2019","Transfer of operations to Orange Park, Florida","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6656","250 S Clinton St, Syracuse, NY 13202, USA",43.0490775,-76.1539416
"Lighthouse Management Services, LLC","300 Clinton Square, Rochester, NY 14604","Property management company","48","48","The employees are not represented by a union.","1/7/2019","9/30/2019","Termination of property management contracts","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6654","300 Clinton Square, Rochester, NY 14604, USA",43.1569862,-77.6068676
"Morrison Healthcare Food and Nutrition Services at Erie Medical Center","462 Grider Street, Buffalo, NY 14215","National food and nutrition services company","172","172","CSEA Local 1000, AFSCME, AFL-CIO","1/6/2019","4/6/2019","Contractual Loss","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6652","462 Grider St, Buffalo, NY 14215, USA",42.9267958,-78.8321408
"Kmart Store (Unit 07677)","121 Bolivar Road, Wellsville, NY 14895","Retail Store","88","88","The employees are not represented by a union.","12/27/2018","3/26/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6649","121 Bolivar Rd, Wellsville, NY 14895, USA",42.1264941,-77.962622
"Kmart Store (Unit 04928)","49 Dix Avenue Ext., Queensbury, NY 12804","Retail Store","60","60","The employees are not represented by a union.","12/27/2018","3/26/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6650","49 Dix Ave, Queensbury, NY 12801, USA",43.314144,-73.6130869
"Sears, Roebuck and Co. Full Line Store (Unit 01894)","10 Miracle Mile Dr., Rochester, NY 14623","Retail Store","70","70","The employees are not represented by a union.","12/27/2018","3/26/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6651","10 Miracle Mile Dr, Rochester, NY 14623, USA",43.081541,-77.633514
"St. Lawrence Health Alliance, Inc.","3 Lyon Place, Ogdensburg, NY 13669","Healthcare Services","72","72","The employees are not represented by a union.","12/28/2018","3/31/2019","The Claxton-Hepburn Medical Center will assume operations and all employees will be offered employment.","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6648","3 Lyon Pl, Ogdensburg, NY 13669, USA",44.691056,-75.4996119
